#id	set	correctLabelW0orW1	warrant0	warrant1	reason	claim	debateTitle	debateInfo
16624526_138_A1CF6U3GF7DZEJ	dev	0	['this', 'behavior', 'is', 'ultimately', 'bad', 'in', 'a', 'capitalist', 'society']	['this', 'behavior', 'is', 'ultimately', 'good', 'in', 'a', 'capitalist', 'society']	['companies', 'break', 'the', 'law', 'and', 'chalk', 'it', 'up', 'as', 'their', 'duty', 'to', 'their', 'shareholders', 'and', 'consider', 'any', 'financial', 'penalties', 'as', 'part', 'of', 'business', 'costs', '.']	"['companies', 'ca', ""n't"", 'be', 'trusted']"	['can', 'companies', 'be', 'trusted', '?']	"['volkswagen', ""'s"", 'vast', 'cheating', 'on', 'emissions', 'tests', 'has', 'been', 'called', 'proof', 'that', 'stronger', 'regulation', 'is', 'needed', '.']"
15986315_221_A2JKETV64OU7DY	dev	0	['many', 'americans', 'are', 'educated', 'and', 'rich']	['many', 'americans', 'are', 'also', 'very', 'uneducated', 'and', 'have', 'no', 'money']	['immigrants', 'are', 'poorly', 'educated', ',', 'low', 'earning', ',', 'and', 'entitled', '.']	['immigration', 'is', 'really', 'a', 'problem']	['is', 'immigration', 'really', 'a', 'problem', '?']	['is', 'unauthorized', 'immigration', 'as', 'much', 'of', 'a', 'problem', 'for', 'the', 'u.s.', 'as', 'some', 'claim', '?']
14370176_130_A3C9GGDXBZW62D	dev	1	"['it', ""'s"", 'better', 'to', 'have', 'an', 'atmosphere', 'that', 'is', ""n't"", 'conductive']"	"['it', ""'s"", 'better', 'to', 'have', 'an', 'atmosphere', 'that', 'is', 'conductive']"	"['lacking', 'in', 'women', 'creates', 'a', 'different', 'atmosphere', 'that', 'is', ""n't"", 'always', 'conductive', '.']"	['same', '-', 'sex', 'colleges', 'are', 'outdated']	['are', 'same', '-', 'sex', 'colleges', 'still', 'relevant', '?']	['do', 'same', '-', 'sex', 'colleges', 'play', 'an', 'important', 'role', 'in', 'education', ',', 'or', 'are', 'they', 'outdated', '?']
14233480_249_A1I4CYG5YDFTYM	dev	0	['they', 'can', 'treat', 'emergency', 'situations', 'like', 'c', '-', 'sections', 'or', 'bleeding', 'out']	['they', 'can', 'not', 'treat', 'emergency', 'situations', 'like', 'c', '-', 'sections', 'or', 'bleeding', 'out']	['midwives', 'are', 'better', 'at', 'prenatal', 'care', 'than', 'doctors', '.']	['women', 'should', 'be', 'encouraged', 'to', 'have', 'kids', 'at', 'home']	['is', 'home', 'birth', 'ever', 'a', 'safe', 'choice', '?']	['should', 'more', 'women', 'be', 'encouraged', 'to', 'have', 'kids', 'at', 'home', '?']
14383502_468_A1LZPWVZRTUZD0	dev	1	['state', 'protective', 'law', 'allow', 'parents', 'to', 'fully', 'exercise', 'their', 'religion', 'on', 'behalf', 'of', 'their', 'children']	"['state', 'protective', 'law', 'does', ""n't"", 'allow', 'parents', 'to', 'fully', 'exercise', 'their', 'religion', 'on', 'behalf', 'of', 'their', 'children']"	['adults', 'can', 'make', 'their', 'own', 'health', 'choices', 'but', 'children', 'should', 'be', 'protected', 'by', 'the', 'state', '.']	"['parents', ""'"", 'religious', 'beliefs', 'should', 'not', 'allow', 'them', 'to', 'refuse', 'medical', 'care', 'for', 'their', 'children']"	"['parents', ""'"", 'beliefs', 'vs.', 'their', 'children', ""'s"", 'health']"	"['should', 'parents', ""'"", 'religious', 'beliefs', 'allow', 'them', 'to', 'refuse', 'medical', 'care', 'for', 'their', 'children', 'or', 'avoid', 'standard', 'medical', 'practices', '?']"
15875797_76_APW9F8OTJ4KXO	dev	1	['the', 'rights', 'of', 'many', 'should', 'not', 'be', 'taken', 'away', 'because', 'of', 'the', 'actions', 'of', 'a', 'few']	['the', 'rights', 'of', 'many', 'should', 'be', 'taken', 'away', 'because', 'of', 'the', 'actions', 'of', 'a', 'few']	['people', 'are', 'abusing', 'the', 'system', 'to', 'create', 'american', 'citizenship', 'for', 'their', 'families', '.']	['abolish', 'birthright', 'citizenship']	"['should', ""'"", 'birthright', 'citizenship', ""'"", 'be', 'abolished', '?']"	['several', 'g.o.p.', 'candidates', 'are', 'calling', 'for', 'an', 'end', 'to', 'the', 'constitutional', 'rule', 'that', 'a', 'child', 'born', 'in', 'the', 'u.s.', 'is', 'a', 'u.s.', 'citizen', '.', 'is', 'this', 'a', 'good', 'idea', '?']
15164217_397_A104V8NZIQFN2F	dev	0	"['science', 'wo', ""n't"", 'solve', 'those', 'problems']"	['science', 'will', 'solve', 'those', 'problems']	['having', 'food', 'makes', 'us', 'tend', 'to', 'reproduce', 'creating', 'more', 'problems', '.']	['overcrowding', 'is', 'a', 'legitimate', 'threat']	['is', 'overcrowding', 'a', 'legitimate', 'threat', '?']	"['do', 'we', 'still', 'need', 'to', 'worry', 'about', 'paul', 'ehrlich', ""'s"", 'predictions', 'of', 'an', 'overcrowded', 'planet', '?']"
16625502_544_A3C9GGDXBZW62D	dev	0	['we', 'need', 'them', 'to', 'be', 'honest']	"['we', 'do', ""n't"", 'need', 'them', 'to', 'be', 'honest']"	"['if', 'it', 'is', ""n't"", 'in', 'a', 'companies', 'best', 'interest', ',', 'we', 'can', 'not', 'rely', 'on', 'them', 'to', 'be', 'honest', '.']"	"['companies', 'ca', ""n't"", 'be', 'trusted']"	['can', 'companies', 'be', 'trusted', '?']	"['volkswagen', ""'s"", 'vast', 'cheating', 'on', 'emissions', 'tests', 'has', 'been', 'called', 'proof', 'that', 'stronger', 'regulation', 'is', 'needed', '.']"
17009879_146_A1LZPWVZRTUZD0	dev	1	['he', 'attacked', 'people', 'even', 'more', 'viciously', 'after', 'declawing']	['he', 'was', 'still', 'able', 'to', 'attack', 'and', 'defend', 'himself', 'afterwards']	"['my', 'mom', ""'s"", 'cat', 'nicked', 'his', 'eye', 'when', 'scratching', 'his', 'face', 'and', 'her', 'vet', 'advised', 'he', 'be', 'declawed', '.']"	['it', 'should', 'be', 'legal', 'to', 'declaw', 'your', 'cat']	['should', 'it', 'be', 'illegal', 'to', 'declaw', 'your', 'cat', '?']	['with', 'legislation', 'pending', ',', 'new', 'york', 'could', 'become', 'the', 'first', 'state', 'to', 'make', 'removing', 'the', 'claws', 'of', 'a', 'cat', 'a', 'crime', '.']
17012985_251_A1OYYWJ2B7OQTD	dev	1	['owners', 'should', 'have', 'the', 'right', 'to', 'be', 'in', 'charge', 'of', 'their', 'animals']	['owners', 'should', 'not', 'have', 'the', 'right', 'to', 'be', 'in', 'charge', 'of', 'their', 'animals']	['declawing', 'is', 'a', 'crime', ';', 'instead', ',', 'people', 'should', 'be', 'educated', 'on', 'proper', 'care', 'and', 'training', '.']	['it', 'should', 'be', 'illegal', 'to', 'declaw', 'your', 'cat']	['should', 'it', 'be', 'illegal', 'to', 'declaw', 'your', 'cat', '?']	['with', 'legislation', 'pending', ',', 'new', 'york', 'could', 'become', 'the', 'first', 'state', 'to', 'make', 'removing', 'the', 'claws', 'of', 'a', 'cat', 'a', 'crime', '.']
15418829_538_A1DJNUJZN8FE7N	dev	1	['those', 'two', 'alternatives', 'rarely', 'happen']	['those', 'two', 'alternatives', 'seldom', 'happen']	"['no', 'matter', 'the', 'outcome', 'of', 'a', 'court', ""'s"", 'decision', ',', 'we', 'always', 'have', 'the', 'option', 'to', 'amend', 'the', 'constitution', 'or', 'create', 'and', 'amend', 'laws', '.']"	['supreme', 'court', 'is', 'not', 'too', 'powerful']	['is', 'the', 'supreme', 'court', 'too', 'powerful', '?']	['is', 'judicial', 'review', 'the', 'best', 'way', 'to', 'avoid', 'political', 'influence', '?', 'or', 'is', 'change', 'best', 'accomplished', 'legislatively', '?']
16325513_0_A2D7S8Y2FAUWMC	dev	0	"['today', ""'s"", 'societal', 'norms', 'have', 'not', 'been', 'directly', 'influenced', 'by', 'trans', '-', 'atlantic', 'slave', 'trade']"	"['today', ""'s"", 'societal', 'norms', 'have', 'been', 'directly', 'influenced', 'by', 'trans', '-', 'atlantic', 'slave', 'trade']"	"['being', 'a', 'student', 'of', 'history', 'i', 'have', 'learned', 'you', 'can', 'not', 'apply', 'today', ""'s"", 'societal', 'norms', 'to', 'the', 'ones', 'of', 'past', 'generations', '.']"	['former', 'colonial', 'powers', 'should', 'not', 'pay', 'reparations']	['are', 'trans', '-', 'atlantic', 'slave', 'trade', 'reparations', 'due', '?']	['should', 'former', 'colonial', 'powers', 'pay', 'reparations', 'for', 'the', 'atlantic', 'slave', 'trade', '?']
16634255_46_A247LJDZOGXJK6	dev	1	"['it', 'does', ""n't"", 'matter', 'how', 'the', 'addict', 'feels', 'about', 'it']"	['it', 'matters', 'how', 'the', 'addict', 'feels', 'about', 'it']	"['addiction', 'causes', 'defiance', ',', 'and', 'forcing', 'a', 'person', ""'s"", 'hand', 'does', 'more', 'harm', 'than', 'good', '.']"	['drug', 'addicts', 'should', 'not', 'be', 'forced', 'into', 'treatment']	['should', 'drug', 'addicts', 'be', 'forced', 'into', 'treatment', '?']	['massachusetts', 'gov.', 'charlie', 'baker', 'wants', 'to', 'give', 'hospitals', 'the', 'power', 'to', 'commit', 'substance', 'abusers', '.', 'is', 'this', 'the', 'right', 'approach', '?']
16967643_582_A34QZDSTKZ3JO9	dev	0	['students', 'would', 'comment', 'on', 'the', 'bad', 'and', 'good', 'methods']	['students', 'would', 'comment', 'on', 'the', 'bad', 'methods']	['forums', 'allow', 'professors', 'to', 'be', 'called', 'out', 'on', 'bad', 'methods', '.']	['it', 'is', 'fair', 'to', 'rate', 'professors', 'online']	['is', 'it', 'fair', 'to', 'rate', 'professors', 'online', '?']	['as', 'students', 'finish', 'their', 'finals', 'and', 'plan', 'for', 'next', 'semester', ',', 'should', 'they', 'turn', 'to', 'ratemyprofessor.com', 'to', 'offer', 'advice', 'and', 'seek', 'guidance', '?']
13848355_386_AE861G0AY5RGT	dev	0	['as', 'working', 'adults', 'employees', 'may', 'not', 'be', 'able', 'to', 'ignore', 'distractions']	['as', 'working', 'adults', 'employees', 'should', 'be', 'able', 'to', 'ignore', 'distractions']	['open', 'offices', 'can', 'be', 'distracting', '.']	['open', 'office', 'layout', 'should', 'be', 'reconsidered']	['bring', 'back', 'cubicles', '?']	['should', 'the', 'open', 'office', 'layout', 'be', 'reconsidered', '?']
15893089_211_AA7ASGQEOMKEZ	dev	0	"['we', 'have', 'many', 'more', 'important', 'holdovers', 'from', 'earlier', 'times', 'that', 'are', ""n't"", 'applicable', 'to', 'today', ""'s"", 'issues', 'but', 'cause', 'a', 'lot', 'fewer', 'problems']"	"['we', 'have', 'many', 'more', 'important', 'holdovers', 'from', 'earlier', 'times', 'that', 'are', ""n't"", 'applicable', 'to', 'today', ""'s"", 'issues', 'but', 'cause', 'a', 'lot', 'more', 'problems']"	"['the', 'birthright', 'citizenship', 'law', 'was', 'intended', 'for', 'free', 'slaves', ',', 'but', 'is', 'not', 'applicable', 'to', 'today', ""'s"", 'issues', '.']"	['abolish', 'birthright', 'citizenship']	"['should', ""'"", 'birthright', 'citizenship', ""'"", 'be', 'abolished', '?']"	['several', 'g.o.p.', 'candidates', 'are', 'calling', 'for', 'an', 'end', 'to', 'the', 'constitutional', 'rule', 'that', 'a', 'child', 'born', 'in', 'the', 'u.s.', 'is', 'a', 'u.s.', 'citizen', '.', 'is', 'this', 'a', 'good', 'idea', '?']
14382500_212_A247LJDZOGXJK6	dev	0	['god', 'created', 'life']	['god', 'created', 'disease', 'and', 'death']	['refusing', 'medical', 'care', 'will', 'lead', 'to', 'widespread', 'disease', 'and', 'death', '.']	"['parents', ""'"", 'religious', 'beliefs', 'should', 'not', 'allow', 'them', 'to', 'refuse', 'medical', 'care', 'for', 'their', 'children']"	"['parents', ""'"", 'beliefs', 'vs.', 'their', 'children', ""'s"", 'health']"	"['should', 'parents', ""'"", 'religious', 'beliefs', 'allow', 'them', 'to', 'refuse', 'medical', 'care', 'for', 'their', 'children', 'or', 'avoid', 'standard', 'medical', 'practices', '?']"
16325513_0_A1I4CYG5YDFTYM	dev	1	['the', 'slave', 'trade', 'led', 'to', 'the', 'current', 'season', 'of', 'racism', 'and', 'unfairness']	"['it', 'was', ""n't"", 'the', 'slave', 'trade', 'led', 'to', 'the', 'current', 'season', 'of', 'racism', 'and', 'unfairness']"	"['being', 'a', 'student', 'of', 'history', 'i', 'have', 'learned', 'you', 'can', 'not', 'apply', 'today', ""'s"", 'societal', 'norms', 'to', 'the', 'ones', 'of', 'past', 'generations', '.']"	['former', 'colonial', 'powers', 'should', 'not', 'pay', 'reparations']	['are', 'trans', '-', 'atlantic', 'slave', 'trade', 'reparations', 'due', '?']	['should', 'former', 'colonial', 'powers', 'pay', 'reparations', 'for', 'the', 'atlantic', 'slave', 'trade', '?']
16629299_15_A247LJDZOGXJK6	dev	1	"['it', 'is', 'the', 'government', ""'s"", 'responsibility', 'to', 'create', 'regulations', 'that', 'can', 'not', 'be', 'cheated']"	['companies', 'will', 'try', 'to', 'cheat', 'the', 'regulations']	['companies', 'cheat', 'regulations']	"['companies', 'ca', ""n't"", 'be', 'trusted']"	['can', 'companies', 'be', 'trusted', '?']	"['volkswagen', ""'s"", 'vast', 'cheating', 'on', 'emissions', 'tests', 'has', 'been', 'called', 'proof', 'that', 'stronger', 'regulation', 'is', 'needed', '.']"
15978831_359_AE861G0AY5RGT	dev	0	"['immigrants', 'do', ""n't"", 'pay', 'into', 'the', 'system']"	"['americans', 'do', ""n't"", 'want', 'immigrants', 'to', 'pay', 'into', 'the', 'system']"	['illegal', 'immigrants', 'take', 'advantage', 'of', 'the', 'freebies', 'america', 'has', 'to', 'offer', 'without', 'paying', 'into', 'the', 'system', '.']	['immigration', 'is', 'really', 'a', 'problem']	['is', 'immigration', 'really', 'a', 'problem', '?']	['is', 'unauthorized', 'immigration', 'as', 'much', 'of', 'a', 'problem', 'for', 'the', 'u.s.', 'as', 'some', 'claim', '?']
16623737_154_A34QZDSTKZ3JO9	dev	1	['companies', 'will', 'compete', 'to', 'make', 'shareholders', 'money']	['companies', 'will', 'compete', 'to', 'steal', 'the', 'shareholders', 'money']	['companies', 'will', 'use', 'any', 'means', 'necessary', 'to', 'be', 'competitive', '.']	"['companies', 'ca', ""n't"", 'be', 'trusted']"	['can', 'companies', 'be', 'trusted', '?']	"['volkswagen', ""'s"", 'vast', 'cheating', 'on', 'emissions', 'tests', 'has', 'been', 'called', 'proof', 'that', 'stronger', 'regulation', 'is', 'needed', '.']"
16625746_229_AYFOAD75CRBKE	dev	1	['some', 'are', 'run', 'by', 'trustworthy', 'people']	['some', 'are', 'not', 'run', 'by', 'trustworthy', 'people']	['companies', 'want', 'to', 'be', 'held', 'to', 'more', 'lose', 'standards', 'than', 'the', 'average', 'citizen', '.']	"['companies', 'ca', ""n't"", 'be', 'trusted']"	['can', 'companies', 'be', 'trusted', '?']	"['volkswagen', ""'s"", 'vast', 'cheating', 'on', 'emissions', 'tests', 'has', 'been', 'called', 'proof', 'that', 'stronger', 'regulation', 'is', 'needed', '.']"
