#id	set	correctLabelW0orW1	warrant0	warrant1	reason	claim	debateTitle	debateInfo
14666389_480_A1CF6U3GF7DZEJ	dev	0	['the', 'excuse', 'is', 'rarely', 'warranted']	['the', 'excuse', 'is', 'sometimes', 'warranted']	['Police', 'use', 'the', 'excuse', 'of', 'fear', 'for', 'life', 'to', 'abuse', 'use', 'of', 'force', '.']	['Police', 'is', 'too', 'willing', 'to', 'use', 'force']	['Do', 'Police', 'Use', 'Deadly', 'Force', 'Too', 'Often', '?']	['Have', 'police', 'officers', 'become', 'too', 'willing', 'to', 'use', 'force', 'or', 'are', 'they', 'reacting', 'to', 'the', 'dangers', 'they', 'face', 'every', 'day', '?']
16146730_138_AB98SGS280TY5	dev	0	['Fighting', 'with', 'ISIS', 'does', 'not', 'cause', 'more', 'problems', '.']	['Fighting', 'with', 'ISIS', 'causes', 'more', 'problems', '.']	['Working', 'with', 'Russia', 'in', 'Syria', 'will', 'defeat', 'ISIS', 'and', 'begin', 'mending', 'fences', 'with', 'Russia', 'who', 'would', 'be', 'a', 'good', 'ally', '.']	['Russia', 'can', 'be', 'a', 'partner']	['Can', 'Russia', 'Really', 'Be', 'a', 'Partner', 'to', 'Bring', 'Peace', 'to', 'Syria', '?']	['Can', 'Russia', 'be', 'an', 'ally', 'in', 'stabilizing', 'Syria', 'and', 'fighting', 'ISIS', 'or', 'is', 'it', 'too', 'closely', 'tied', 'to', 'the', 'Assad', 'regime', '?']
16971054_138_AYFOAD75CRBKE	dev	1	"['rating', 'tells', 'about', 'the', 'professor', ""'s"", 'history']"	"['rating', 'does', ""n't"", 'tell', 'about', 'the', 'professor', ""'s"", 'history']"	['A', 'bad', 'rating', 'is', 'still', 'there', 'years', 'later', ',', 'even', 'if', 'it', 'no', 'longer', 'has', 'relevance', '.']	['It', 'is', 'not', 'fair', 'to', 'rate', 'professors', 'online']	['Is', 'It', 'Fair', 'to', 'Rate', 'Professors', 'Online', '?']	['As', 'students', 'finish', 'their', 'finals', 'and', 'plan', 'for', 'next', 'semester', ',', 'should', 'they', 'turn', 'to', 'RateMyProfessor.com', 'to', 'offer', 'advice', 'and', 'seek', 'guidance', '?']
15419119_299_APW9F8OTJ4KXO	dev	1	['many', 'Americans', 'would', 'prefer', 'to', 'still', 'live', 'in', 'those', 'less', 'civilized', 'times', ',', 'it', 'is', 'their', 'right', 'to', 'do', 'so']	['many', 'Americans', 'would', 'not', 'prefer', 'to', 'still', 'live', 'in', 'those', 'less', 'civilized', 'times', ',', 'it', 'is', 'their', 'right', 'to', 'become', 'advanced']	['Without', 'the', 'Supreme', 'Court', ',', 'the', 'US', 'would', 'be', 'in', 'the', 'dark', 'ages', '.']	['Supreme', 'court', 'is', 'not', 'too', 'powerful']	['Is', 'the', 'Supreme', 'Court', 'Too', 'Powerful', '?']	['Is', 'judicial', 'review', 'the', 'best', 'way', 'to', 'avoid', 'political', 'influence', '?', 'Or', 'is', 'change', 'best', 'accomplished', 'legislatively', '?']
14233179_121_AYFOAD75CRBKE	dev	0	['most', 'every', 'case', 'is', 'the', 'same']	['not', 'every', 'case', 'is', 'the', 'same']	['Both', 'of', 'my', 'home', 'births', 'had', 'no', 'problems', 'or', 'risks', '.']	['Women', 'should', 'be', 'encouraged', 'to', 'have', 'kids', 'at', 'home']	['Is', 'Home', 'Birth', 'Ever', 'a', 'Safe', 'Choice', '?']	['Should', 'more', 'women', 'be', 'encouraged', 'to', 'have', 'kids', 'at', 'home', '?']
14370228_0_A104V8NZIQFN2F	dev	0	['women', 'should', ' ', 'practice', 'law']	['women', 'should', 'not', 'practice', 'law']	['In', 'the', 'law', 'school', 'field', 'there', 'are', 'none', 'that', 'are', 'for', 'women', 'only', '.']	['Same', '-', 'sex', 'colleges', 'are', 'outdated']	['Are', 'Same', '-', 'Sex', 'Colleges', 'Still', 'Relevant', '?']	['Do', 'same', '-', 'sex', 'colleges', 'play', 'an', 'important', 'role', 'in', 'education', ',', 'or', 'are', 'they', 'outdated', '?']
17024278_160_A247LJDZOGXJK6	dev	1	['litter', 'boxes', 'can', 'be', 'cleaned', 'on', 'a', 'daily', 'basis']	['litter', 'boxes', 'are', 'annoying', 'to', 'clean', 'on', 'a', 'daily', 'basis']	['Declawing', 'your', 'cat', 'can', 'understandably', 'lead', 'to', 'them', 'failing', 'to', 'cover', 'their', 'waste', '.']	['It', 'should', 'be', 'illegal', 'to', 'declaw', 'your', 'cat']	['Should', 'It', 'Be', 'Illegal', 'to', 'Declaw', 'Your', 'Cat', '?']	['With', 'legislation', 'pending', ',', 'New', 'York', 'could', 'become', 'the', 'first', 'state', 'to', 'make', 'removing', 'the', 'claws', 'of', 'a', 'cat', 'a', 'crime', '.']
16157609_550_APW9F8OTJ4KXO	dev	1	['some', 'people', 'do', 'not', 'have', 'enough', 'supportive', 'people', 'in', 'their', 'lives', 'to', 'follow', 'up', 'with']	['people', 'have', 'enough', 'supportive', 'people', 'in', 'their', 'lives', 'to', 'follow', 'up', 'with']	['People', 'need', 'other', 'people', 'more', 'than', 'they', 'think', '.']	['Apps', 'can', 'not', 'be', 'used', 'to', 'treat', 'depression', 'and', 'anxiety']	"['Depressed', '?', 'There', ""'s"", 'an', 'App', 'for', 'That']"	['Can', 'apps', 'be', 'used', 'to', 'treat', 'depression', 'and', 'anxiety', '?']
14230144_260_A34QZDSTKZ3JO9	dev	1	"['one', 'experience', 'does', ""n't"", 'amount', 'to', 'the', 'experiences', 'of', 'everyone']"	['one', 'experience', 'can', 'be', 'an', 'example', 'to', 'the', 'experiences', 'of', 'everyone']	['My', 'home', 'birth', 'experience', 'is', 'indescribable', ',', 'it', 'was', 'the', 'best', 'decision', 'I', 'ever', 'made', '.']	['Women', 'should', 'be', 'encouraged', 'to', 'have', 'kids', 'at', 'home']	['Is', 'Home', 'Birth', 'Ever', 'a', 'Safe', 'Choice', '?']	['Should', 'more', 'women', 'be', 'encouraged', 'to', 'have', 'kids', 'at', 'home', '?']
14367986_0_A2GHGJP29KRWOQ	dev	1	['this', 'specific', 'landscape', 'is', 'not', 'longer', 'relevant']	['this', 'specific', 'landscape', 'is', 'relevant']	['Same', 'sex', 'schools', 'offers', 'a', 'specific', 'landscape', '.']	['Same', '-', 'sex', 'colleges', 'are', 'still', 'relevant']	['Are', 'Same', '-', 'Sex', 'Colleges', 'Still', 'Relevant', '?']	['Do', 'same', '-', 'sex', 'colleges', 'play', 'an', 'important', 'role', 'in', 'education', ',', 'or', 'are', 'they', 'outdated', '?']
16624526_138_A1CF6U3GF7DZEJ	dev	0	['this', 'behavior', 'is', 'ultimately', 'bad', 'in', 'a', 'capitalist', 'society']	['this', 'behavior', 'is', 'ultimately', 'good', 'in', 'a', 'capitalist', 'society']	['Companies', 'break', 'the', 'law', 'and', 'chalk', 'it', 'up', 'as', 'their', 'duty', 'to', 'their', 'shareholders', 'and', 'consider', 'any', 'financial', 'penalties', 'as', 'part', 'of', 'business', 'costs', '.']	"['Companies', 'ca', ""n't"", 'be', 'trusted']"	['Can', 'Companies', 'Be', 'Trusted', '?']	"['Volkswagen', ""'s"", 'vast', 'cheating', 'on', 'emissions', 'tests', 'has', 'been', 'called', 'proof', 'that', 'stronger', 'regulation', 'is', 'needed', '.']"
15986315_221_A2JKETV64OU7DY	dev	0	['many', 'americans', 'are', 'educated', 'and', 'rich']	['many', 'americans', 'are', 'also', 'very', 'uneducated', 'and', 'have', 'no', 'money']	['Immigrants', 'are', 'poorly', 'educated', ',', 'low', 'earning', ',', 'and', 'entitled', '.']	['Immigration', 'is', 'really', 'a', 'problem']	['Is', 'Immigration', 'Really', 'a', 'Problem', '?']	['Is', 'unauthorized', 'immigration', 'as', 'much', 'of', 'a', 'problem', 'for', 'the', 'U.S.', 'as', 'some', 'claim', '?']
14370176_130_A3C9GGDXBZW62D	dev	1	"['it', ""'s"", 'better', 'to', 'have', 'an', 'atmosphere', 'that', 'is', ""n't"", 'conductive']"	"['it', ""'s"", 'better', 'to', 'have', 'an', 'atmosphere', 'that', 'is', 'conductive']"	"['Lacking', 'in', 'women', 'creates', 'a', 'different', 'atmosphere', 'that', 'is', ""n't"", 'always', 'conductive', '.']"	['Same', '-', 'sex', 'colleges', 'are', 'outdated']	['Are', 'Same', '-', 'Sex', 'Colleges', 'Still', 'Relevant', '?']	['Do', 'same', '-', 'sex', 'colleges', 'play', 'an', 'important', 'role', 'in', 'education', ',', 'or', 'are', 'they', 'outdated', '?']
14233480_249_A1I4CYG5YDFTYM	dev	0	['they', 'can', 'treat', 'emergency', 'situations', 'like', 'c', '-', 'sections', 'or', 'bleeding', 'out']	['they', 'can', 'not', 'treat', 'emergency', 'situations', 'like', 'c', '-', 'sections', 'or', 'bleeding', 'out']	['Midwives', 'are', 'better', 'at', 'prenatal', 'care', 'than', 'doctors', '.']	['Women', 'should', 'be', 'encouraged', 'to', 'have', 'kids', 'at', 'home']	['Is', 'Home', 'Birth', 'Ever', 'a', 'Safe', 'Choice', '?']	['Should', 'more', 'women', 'be', 'encouraged', 'to', 'have', 'kids', 'at', 'home', '?']
14383502_468_A1LZPWVZRTUZD0	dev	1	['state', 'protective', 'law', 'allow', 'parents', 'to', 'fully', 'exercise', 'their', 'religion', 'on', 'behalf', 'of', 'their', 'children']	"['state', 'protective', 'law', 'does', ""n't"", 'allow', 'parents', 'to', 'fully', 'exercise', 'their', 'religion', 'on', 'behalf', 'of', 'their', 'children']"	['Adults', 'can', 'make', 'their', 'own', 'health', 'choices', 'but', 'children', 'should', 'be', 'protected', 'by', 'the', 'state', '.']	"['Parents', ""'"", 'religious', 'beliefs', 'should', 'not', 'allow', 'them', 'to', 'refuse', 'medical', 'care', 'for', 'their', 'children']"	"['Parents', ""'"", 'Beliefs', 'vs.', 'Their', 'Children', ""'s"", 'Health']"	"['Should', 'parents', ""'"", 'religious', 'beliefs', 'allow', 'them', 'to', 'refuse', 'medical', 'care', 'for', 'their', 'children', 'or', 'avoid', 'standard', 'medical', 'practices', '?']"
15875797_76_APW9F8OTJ4KXO	dev	1	['the', 'rights', 'of', 'many', 'should', 'not', 'be', 'taken', 'away', 'because', 'of', 'the', 'actions', 'of', 'a', 'few']	['the', 'rights', 'of', 'many', 'should', 'be', 'taken', 'away', 'because', 'of', 'the', 'actions', 'of', 'a', 'few']	['People', 'are', 'abusing', 'the', 'system', 'to', 'create', 'American', 'citizenship', 'for', 'their', 'families', '.']	['Abolish', 'Birthright', 'Citizenship']	"['Should', ""'"", 'Birthright', 'Citizenship', ""'"", 'Be', 'Abolished', '?']"	['Several', 'G.O.P.', 'candidates', 'are', 'calling', 'for', 'an', 'end', 'to', 'the', 'constitutional', 'rule', 'that', 'a', 'child', 'born', 'in', 'the', 'U.S.', 'is', 'a', 'U.S.', 'citizen', '.', 'Is', 'this', 'a', 'good', 'idea', '?']
15164217_397_A104V8NZIQFN2F	dev	0	"['science', 'wo', ""n't"", 'solve', 'those', 'problems']"	['science', 'will', 'solve', 'those', 'problems']	['Having', 'food', 'makes', 'us', 'tend', 'to', 'reproduce', 'creating', 'more', 'problems', '.']	['Overcrowding', 'is', 'a', 'legitimate', 'threat']	['Is', 'Overcrowding', 'a', 'Legitimate', 'Threat', '?']	"['Do', 'we', 'still', 'need', 'to', 'worry', 'about', 'Paul', 'Ehrlich', ""'s"", 'predictions', 'of', 'an', 'overcrowded', 'planet', '?']"
16625502_544_A3C9GGDXBZW62D	dev	0	['we', 'need', 'them', 'to', 'be', 'honest']	"['we', 'do', ""n't"", 'need', 'them', 'to', 'be', 'honest']"	"['If', 'it', 'is', ""n't"", 'in', 'a', 'companies', 'best', 'interest', ',', 'we', 'can', 'not', 'rely', 'on', 'them', 'to', 'be', 'honest', '.']"	"['Companies', 'ca', ""n't"", 'be', 'trusted']"	['Can', 'Companies', 'Be', 'Trusted', '?']	"['Volkswagen', ""'s"", 'vast', 'cheating', 'on', 'emissions', 'tests', 'has', 'been', 'called', 'proof', 'that', 'stronger', 'regulation', 'is', 'needed', '.']"
17009879_146_A1LZPWVZRTUZD0	dev	1	['he', 'attacked', 'people', 'even', 'more', 'viciously', 'after', 'declawing']	['he', 'was', 'still', 'able', 'to', 'attack', 'and', 'defend', 'himself', 'afterwards']	"['My', 'mom', ""'s"", 'cat', 'nicked', 'his', 'eye', 'when', 'scratching', 'his', 'face', 'and', 'her', 'vet', 'advised', 'he', 'be', 'declawed', '.']"	['It', 'should', 'be', 'legal', 'to', 'declaw', 'your', 'cat']	['Should', 'It', 'Be', 'Illegal', 'to', 'Declaw', 'Your', 'Cat', '?']	['With', 'legislation', 'pending', ',', 'New', 'York', 'could', 'become', 'the', 'first', 'state', 'to', 'make', 'removing', 'the', 'claws', 'of', 'a', 'cat', 'a', 'crime', '.']
17012985_251_A1OYYWJ2B7OQTD	dev	1	['owners', 'should', 'have', 'the', 'right', 'to', 'be', 'in', 'charge', 'of', 'their', 'animals']	['owners', 'should', 'not', 'have', 'the', 'right', 'to', 'be', 'in', 'charge', 'of', 'their', 'animals']	['Declawing', 'is', 'a', 'crime', ';', 'instead', ',', 'people', 'should', 'be', 'educated', 'on', 'proper', 'care', 'and', 'training', '.']	['It', 'should', 'be', 'illegal', 'to', 'declaw', 'your', 'cat']	['Should', 'It', 'Be', 'Illegal', 'to', 'Declaw', 'Your', 'Cat', '?']	['With', 'legislation', 'pending', ',', 'New', 'York', 'could', 'become', 'the', 'first', 'state', 'to', 'make', 'removing', 'the', 'claws', 'of', 'a', 'cat', 'a', 'crime', '.']
15418829_538_A1DJNUJZN8FE7N	dev	1	['those', 'two', 'alternatives', 'rarely', 'happen']	['those', 'two', 'alternatives', 'seldom', 'happen']	"['No', 'matter', 'the', 'outcome', 'of', 'a', 'court', ""'s"", 'decision', ',', 'we', 'always', 'have', 'the', 'option', 'to', 'amend', 'the', 'Constitution', 'or', 'create', 'and', 'amend', 'laws', '.']"	['Supreme', 'court', 'is', 'not', 'too', 'powerful']	['Is', 'the', 'Supreme', 'Court', 'Too', 'Powerful', '?']	['Is', 'judicial', 'review', 'the', 'best', 'way', 'to', 'avoid', 'political', 'influence', '?', 'Or', 'is', 'change', 'best', 'accomplished', 'legislatively', '?']
16325513_0_A2D7S8Y2FAUWMC	dev	0	"['today', ""'s"", 'societal', 'norms', 'have', 'not', 'been', 'directly', 'influenced', 'by', 'trans', '-', 'atlantic', 'slave', 'trade']"	"['today', ""'s"", 'societal', 'norms', 'have', 'been', 'directly', 'influenced', 'by', 'trans', '-', 'atlantic', 'slave', 'trade']"	"['Being', 'a', 'student', 'of', 'history', 'I', 'have', 'learned', 'you', 'can', 'not', 'apply', 'today', ""'s"", 'societal', 'norms', 'to', 'the', 'ones', 'of', 'past', 'generations', '.']"	['Former', 'colonial', 'powers', 'should', 'not', 'pay', 'reparations']	['Are', 'Trans', '-', 'Atlantic', 'Slave', 'Trade', 'Reparations', 'Due', '?']	['Should', 'former', 'colonial', 'powers', 'pay', 'reparations', 'for', 'the', 'Atlantic', 'slave', 'trade', '?']
16634255_46_A247LJDZOGXJK6	dev	1	"['it', 'does', ""n't"", 'matter', 'how', 'the', 'addict', 'feels', 'about', 'it']"	['it', 'matters', 'how', 'the', 'addict', 'feels', 'about', 'it']	"['Addiction', 'causes', 'defiance', ',', 'and', 'forcing', 'a', 'person', ""'s"", 'hand', 'does', 'more', 'harm', 'than', 'good', '.']"	['Drug', 'addicts', 'should', 'not', 'be', 'forced', 'into', 'treatment']	['Should', 'Drug', 'Addicts', 'Be', 'Forced', 'Into', 'Treatment', '?']	['Massachusetts', 'Gov.', 'Charlie', 'Baker', 'wants', 'to', 'give', 'hospitals', 'the', 'power', 'to', 'commit', 'substance', 'abusers', '.', 'Is', 'this', 'the', 'right', 'approach', '?']
16967643_582_A34QZDSTKZ3JO9	dev	0	['students', 'would', 'comment', 'on', 'the', 'bad', 'and', 'good', 'methods']	['students', 'would', 'comment', 'on', 'the', 'bad', 'methods']	['Forums', 'allow', 'professors', 'to', 'be', 'called', 'out', 'on', 'bad', 'methods', '.']	['It', 'is', 'fair', 'to', 'rate', 'professors', 'online']	['Is', 'It', 'Fair', 'to', 'Rate', 'Professors', 'Online', '?']	['As', 'students', 'finish', 'their', 'finals', 'and', 'plan', 'for', 'next', 'semester', ',', 'should', 'they', 'turn', 'to', 'RateMyProfessor.com', 'to', 'offer', 'advice', 'and', 'seek', 'guidance', '?']
13848355_386_AE861G0AY5RGT	dev	0	['as', 'working', 'adults', 'employees', 'may', 'not', 'be', 'able', 'to', 'ignore', 'distractions']	['as', 'working', 'adults', 'employees', 'should', 'be', 'able', 'to', 'ignore', 'distractions']	['Open', 'offices', 'can', 'be', 'distracting', '.']	['Open', 'office', 'layout', 'should', 'be', 'reconsidered']	['Bring', 'Back', 'Cubicles', '?']	['Should', 'the', 'open', 'office', 'layout', 'be', 'reconsidered', '?']
15893089_211_AA7ASGQEOMKEZ	dev	0	"['we', 'have', 'many', 'more', 'important', 'holdovers', 'from', 'earlier', 'times', 'that', 'are', ""n't"", 'applicable', 'to', 'today', ""'s"", 'issues', 'but', 'cause', 'a', 'lot', 'fewer', 'problems']"	"['we', 'have', 'many', 'more', 'important', 'holdovers', 'from', 'earlier', 'times', 'that', 'are', ""n't"", 'applicable', 'to', 'today', ""'s"", 'issues', 'but', 'cause', 'a', 'lot', 'more', 'problems']"	"['The', 'Birthright', 'Citizenship', 'law', 'was', 'intended', 'for', 'free', 'slaves', ',', 'but', 'is', 'not', 'applicable', 'to', 'today', ""'s"", 'issues', '.']"	['Abolish', 'Birthright', 'Citizenship']	"['Should', ""'"", 'Birthright', 'Citizenship', ""'"", 'Be', 'Abolished', '?']"	['Several', 'G.O.P.', 'candidates', 'are', 'calling', 'for', 'an', 'end', 'to', 'the', 'constitutional', 'rule', 'that', 'a', 'child', 'born', 'in', 'the', 'U.S.', 'is', 'a', 'U.S.', 'citizen', '.', 'Is', 'this', 'a', 'good', 'idea', '?']
14382500_212_A247LJDZOGXJK6	dev	0	['God', 'created', 'life']	['God', 'created', 'disease', 'and', 'death']	['Refusing', 'medical', 'care', 'will', 'lead', 'to', 'widespread', 'disease', 'and', 'death', '.']	"['Parents', ""'"", 'religious', 'beliefs', 'should', 'not', 'allow', 'them', 'to', 'refuse', 'medical', 'care', 'for', 'their', 'children']"	"['Parents', ""'"", 'Beliefs', 'vs.', 'Their', 'Children', ""'s"", 'Health']"	"['Should', 'parents', ""'"", 'religious', 'beliefs', 'allow', 'them', 'to', 'refuse', 'medical', 'care', 'for', 'their', 'children', 'or', 'avoid', 'standard', 'medical', 'practices', '?']"
16325513_0_A1I4CYG5YDFTYM	dev	1	['the', 'slave', 'trade', 'led', 'to', 'the', 'current', 'season', 'of', 'racism', 'and', 'unfairness']	"['it', 'was', ""n't"", 'the', 'slave', 'trade', 'led', 'to', 'the', 'current', 'season', 'of', 'racism', 'and', 'unfairness']"	"['Being', 'a', 'student', 'of', 'history', 'I', 'have', 'learned', 'you', 'can', 'not', 'apply', 'today', ""'s"", 'societal', 'norms', 'to', 'the', 'ones', 'of', 'past', 'generations', '.']"	['Former', 'colonial', 'powers', 'should', 'not', 'pay', 'reparations']	['Are', 'Trans', '-', 'Atlantic', 'Slave', 'Trade', 'Reparations', 'Due', '?']	['Should', 'former', 'colonial', 'powers', 'pay', 'reparations', 'for', 'the', 'Atlantic', 'slave', 'trade', '?']
16629299_15_A247LJDZOGXJK6	dev	1	"['it', 'is', 'the', 'government', ""'s"", 'responsibility', 'to', 'create', 'regulations', 'that', 'can', 'not', 'be', 'cheated']"	['companies', 'will', 'try', 'to', 'cheat', 'the', 'regulations']	['Companies', 'cheat', 'regulations']	"['Companies', 'ca', ""n't"", 'be', 'trusted']"	['Can', 'Companies', 'Be', 'Trusted', '?']	"['Volkswagen', ""'s"", 'vast', 'cheating', 'on', 'emissions', 'tests', 'has', 'been', 'called', 'proof', 'that', 'stronger', 'regulation', 'is', 'needed', '.']"
15978831_359_AE861G0AY5RGT	dev	0	"['immigrants', 'do', ""n't"", 'pay', 'into', 'the', 'system']"	"['Americans', 'do', ""n't"", 'want', 'immigrants', 'to', 'pay', 'into', 'the', 'system']"	['Illegal', 'immigrants', 'take', 'advantage', 'of', 'the', 'freebies', 'America', 'has', 'to', 'offer', 'without', 'paying', 'into', 'the', 'system', '.']	['Immigration', 'is', 'really', 'a', 'problem']	['Is', 'Immigration', 'Really', 'a', 'Problem', '?']	['Is', 'unauthorized', 'immigration', 'as', 'much', 'of', 'a', 'problem', 'for', 'the', 'U.S.', 'as', 'some', 'claim', '?']
